unsuper_dnmf_test,unsuper_mu_test,unsuper_dnmf_train,unsuper_mu_train
11877.7421875,66819.38485549744,194231.70473372037,16679.150390625
205625.515625,322273.28791255696,132376.75308346123,11012.375
111103.8984375,232068.56408008788,146654.13824532556,14800.3623046875
7738.75244140625,36249.2295365129,195651.0795542472,21085.42578125
99308.7265625,101241.98726613521,176415.68703403146,12678.013671875
