super_reg,super_no_reg
3888396.0,6544775.5
723004.1875,917067.9375
253961216.0,287739328.0
39361352.0,52025196.0
3717686.0,11650184.0
1180092.375,1717614.875
5694063.5,6854416.0
42613.48046875,167630.765625
955894976.0,1347648384.0
3644263168.0,5582248960.0
15624669184.0,17955534848.0
4147576576.0,6106218496.0
22897.12890625,67302.484375
60867.0,118514.4609375
