dnmf_0_1,dnmf_1_1,dnmf_2_1,mu_0_1,mu_1_1,mu_2_1
215017.25,215497.265625,215481.84375,33903.76928358945,33878.42419168841,33853.750399075514
107855.3359375,56603.64453125,53552.1796875,97808.04898447984,97588.84975781974,97413.6587072613
27192.7265625,34422.69921875,32762.4609375,49420.4471404243,49385.683755129416,49351.50326281076
82408.90625,48890.63671875,55706.26953125,26087.8021121315,26096.742374791243,26104.88140195972
68096.328125,41475.4765625,45411.80859375,30945.384439138525,30942.977936295345,30940.965972926573
