SD,Permeability Value (3 days),Viral Protein SARS-Cov-2
7.8,151.1,spike
10.6,148.6,N
14,143.9,orf9c
6.6,142,orf3a
16.3,141.6,orf10
22.5,140.6,orf9b
6.3,140.2,nsp4
16.8,139.7,orf8
16.4,139.4,nsp6
7,136.2,M
17.2,135.4,nsp14
7.8,134.7,nsp10
22.5,134.2,nsp11
6.9,133.65,nsp8
18.4,133.1,nsp1
13.9,131,orf3b
13.9,130.6,E
20.9,130.2,nsp15
18,128.4,orf6
6.2,128.7,nsp9
6.1,127.6,nsp5
9.9,126.6,nsp12
10.5,122.7,nsp5_C145A
19.2,118.2,nsp13
8.6,115,orf7a
10.9,111.9,nsp7
11.6,109,nsp2
