viral,interactions_count,perm_3_days,perm_4_days,Cadherin-5_score,Cadherin-2_score,Cadherin-3_score,Cadherin-4_score,Catenin delta 1_score,Cateninβ  _score,α Catenin _score,Occludin_score,Claudin-5_score,ZO-1_score,ZO-2_score,ZO-3_score
e,6,130.6,133.3,0.00040920007061217005,0.0004856158917468554,0.00020784870503416655,0.00010683949771246309,0.000551393539894056,0.0015300509178767202,0.0006060695641852394,0.00045999775646792933,0.00013683953844591647,0.0006147593773418296,0.0005644386553106907,0.00020901039150379453
m,30,136.2,135.7,0.002223297928220136,0.002405205025593306,0.0009921347498879148,0.0004855212949173286,0.0027084948659805647,0.007665752403878964,0.002868462680471885,0.002284342863425759,0.0011212804075556187,0.004071521738027069,0.002499138087203117,0.000683318659756287
n,15,148.6,136.8,0.0016582172274152874,0.002034571481388873,0.0008961493185523749,0.0005643417744191968,0.003247552238289161,0.006495361756600965,0.0025684654005820096,0.0015909379691898015,0.0005613689093119619,0.0026485391136282536,0.0023289982072873436,0.0005601540848316264
spike,2,151.1,142.7,8.197103564707734e-05,0.00010002391276596913,4.36153672862501e-05,1.8925695644661665e-05,0.00014577026343509916,0.0002299936426639569,0.00012821584393799806,0.00015852150743581023,0.00010843185233573622,0.00013418408521754046,8.853731744293877e-05,2.6846809732582472e-05
nsp1,6,133.1,127.3,0.00036633736629532816,0.0004034219185546291,0.00022209904035583086,9.781130362976843e-05,0.00047660284562472065,0.0014044378398094925,0.0006084775572534878,0.00031759076039735904,0.00011709489847662768,0.0005954511785840842,0.0005808996304996884,0.00011204151892193501
nsp10,5,134.7,124.1,0.000410293780799686,0.0004995403692691679,0.0010751074745824574,9.553456830446917e-05,0.000916873183620312,0.0015258659167405547,0.000637366706713798,0.00043018071202127013,0.00014546303631776154,0.0006247720058122506,0.000503899696043558,0.00019844981573870405
nsp11,1,134.2,135.3,6.186304511321702e-05,8.25500794562243e-05,3.2936350313561536e-05,1.6422066490358927e-05,8.673577571777368e-05,0.00024232423782563108,9.157286749359459e-05,6.284521996733251e-05,2.4005902903842897e-05,0.00011963983678872228,8.801934127722532e-05,2.2323266965980128e-05
nsp12,20,126.6,117.2,0.0011056218955957753,0.0012831363855104862,0.0005863184527168158,0.00032610825572346625,0.001612892301204611,0.004198285685557232,0.0016710574105650831,0.0011197983134983915,0.0003825035733466053,0.0017949151684268198,0.0016260414923850348,0.00039154207372695725
nsp13,40,118.2,114.2,0.0029103611407736503,0.0035883105835585,0.0015507254081286764,0.0007534207570265133,0.004724548592994887,0.011270738732628684,0.00582930040879501,0.003052036547663958,0.0010440626984787923,0.006628955427449974,0.0065103166802305225,0.0011512364858506817
nsp14,3,135.4,116.6,0.0001634302518777418,0.00019741641534891068,8.67673253229697e-05,4.186226116212742e-05,0.0002315301685907399,0.0007439128120252903,0.00025629316250488395,0.000160313456818223,5.5616000563196094e-05,0.00023440189430646267,0.00020825716851796078,5.420782810528662e-05
nsp15,3,130.2,121.5,0.00026869204526446883,0.000318350203791373,0.00015765967922574863,7.078042100827312e-05,0.0003935450700373058,0.000928224395905059,0.0004418946071757425,0.00025434230346622265,0.00010126250223842436,0.0003904812422255535,0.0003332311073784852,8.797845823028936e-05
nsp2,7,109.0,116.3,0.0005989527068555114,0.000533373851095456,0.0002732696299106851,0.00010985086400845515,0.0006603036699942939,0.0016747570135843914,0.0007337225488948194,0.0004889404166196899,0.00016467059031008896,0.0008312334060133581,0.0008705780978318281,0.000178399164106235
nsp4,8,140.2,136.9,0.00044862130967414024,0.0005418086197876858,0.000201073053946018,0.00010348649665003919,0.0005288431162580203,0.0018072363502895075,0.0005781946743966805,0.0004104929620567063,0.00016609682413168015,0.0006212129444689515,0.00048822988397540743,0.00012663383811275603
nsp5,1,127.6,121.9,0.000185055465035884,0.00021007972355008604,0.00010669374314653493,5.2066216034967224e-05,0.00025232477016642587,0.0008395525082311601,0.00029380385762125876,0.0001768536635159731,5.9696252792195365e-05,0.00026952208700060194,0.0003017481310172982,5.897964632018498e-05
nsp5_c145a,2,122.7,114.5,0.00011323871375525892,0.00013836290679715437,7.232743275297812e-05,2.614080284976527e-05,0.00016017338222235492,0.0003694728283409139,0.00016290171923339687,9.665035579435544e-05,3.640104169811242e-05,0.00017768073807530394,0.0001342807450239674,3.3963439195540884e-05
nsp6,4,139.4,132.9,0.0002204184369096531,0.00024081845877955404,0.00010657533175984036,4.748107562610976e-05,0.0002915398147686339,0.0006437970219189704,0.0002801460309433937,0.00029988899719431475,9.164588022983987e-05,0.0003004821640665098,0.00022872537759686783,7.676068801072867e-05
