viral,Preys,PreyGene,MIST,Saint_BFDR,AvgSpec,FoldChange,Uniprot Protein ID
orf6,Q9NZJ7,MTCH1,0.851173737,0.05,2,20,MTCH1_HUMAN
orf7a,Q7Z4Q2,HEATR3,0.789988379,0,3.67,36.67,HEAT3_HUMAN
orf7a,Q9NU22,MDN1,0.981108579,0,7.67,76.67,MDN1_HUMAN
orf8,O00469,PLOD2,0.992483418,0,13.67,136.67,PLOD2_HUMAN
orf8,O14656,TOR1A,0.879789245,0.04,2,20,TOR1A_HUMAN
orf8,O76061,STC2,0.979920785,0,4.67,46.67,STC2_HUMAN
orf8,P00750,PLAT,0.973718932,0.05,2,20,TPA_HUMAN
orf8,P05556,ITGB1,0.817711683,0.04,2.33,23.33,ITB1_HUMAN
orf8,P0C7P0,CISD3,0.760326153,0,4,40,CISD3_HUMAN
orf8,P12109,COL6A1,0.977300006,0.05,2,20,CO6A1_HUMAN
orf8,P15151,PVR,0.991893926,0,4,40,PVR_HUMAN
orf8,P26358,DNMT1,0.795844505,0,8,80,DNMT1_HUMAN
orf8,P28300,LOX,0.985331119,0,2.67,26.67,LYOX_HUMAN
orf8,P29122,PCSK6,0.721790867,0,3.67,36.67,PCSK6_HUMAN
orf8,P58166,INHBE,0.993645979,0,6,60,INHBE_HUMAN
orf8,P61916,NPC2,0.978204196,0,3.67,36.67,NPC2_HUMAN
orf8,Q08431,MFGE8,0.743312102,0,2.67,26.67,MFGM_HUMAN
orf8,Q13438,OS9,0.931530938,0,3.33,33.33,OS9_HUMAN
orf8,Q15818,NPTX1,0.984056824,0,2.67,26.67,NPTX1_HUMAN
orf8,Q6UW63,POGLUT2,0.95793072,0.03,3,30,PLGT2_HUMAN
orf8,Q7Z4H8,POGLUT3,0.932470503,0,4.33,43.33,PLGT3_HUMAN
