dnmf_0_1,dnmf_1_1,dnmf_2_1,mu_0_1,mu_1_1,mu_2_1,dnmf_0_2,dnmf_1_2,dnmf_2_2,mu_0_2,mu_1_2,mu_2_2,dnmf_0_3,dnmf_1_3,dnmf_2_3,mu_0_3,mu_1_3,mu_2_3,dnmf_0_4,dnmf_1_4,dnmf_2_4,mu_0_4,mu_1_4,mu_2_4,dnmf_0_5,dnmf_1_5,dnmf_2_5,mu_0_5,mu_1_5,mu_2_5,dnmf_0_6,dnmf_1_6,dnmf_2_6,mu_0_6,mu_1_6,mu_2_6,dnmf_0_7,dnmf_1_7,dnmf_2_7,mu_0_7,mu_1_7,mu_2_7,dnmf_0_8,dnmf_1_8,dnmf_2_8,mu_0_8,mu_1_8,mu_2_8,dnmf_0_9,dnmf_1_9,dnmf_2_9,mu_0_9,mu_1_9,mu_2_9,dnmf_0_10,dnmf_1_10,dnmf_2_10,mu_0_10,mu_1_10,mu_2_10,dnmf_0_11,dnmf_1_11,dnmf_2_11,mu_0_11,mu_1_11,mu_2_11,dnmf_0_12,dnmf_1_12,dnmf_2_12,mu_0_12,mu_1_12,mu_2_12
21776.08203125,30082.40625,52160.05859375,379461.02942491946,379438.1735231174,379438.06408487173,19081.7890625,2032482.375,1913275.5,203164.42201196213,203339.3943577925,203003.82567934005,3013143.5,1309433.0,1290277.25,9813470.543447958,9813419.673685782,9812882.970459068,742766.4375,2280493.0,2169361.75,9730886.095127326,9731373.3159634,9860581.735554334,38745.8203125,52027.953125,62712.79296875,209536.58212227025,209612.06429185392,209539.54210123653,21481.4921875,61032.37109375,175121.1875,198494.81891347718,198991.8068347886,198499.5641508556,2967.0,16174.984375,27305.82421875,18818.303357161112,18511.072538556564,18650.18727327718,1571.1109619140625,15300.94140625,32584.228515625,22079.425738972797,22531.35923992797,22615.597452584043,1482782.5,5020985.5,3361435.75,6879737.656240522,6877561.354080022,6879305.693905597,2769178.0,13382335488.0,8145946.0,8585885.451128256,8585316.160144888,8585239.55170732,200547.890625,2190401.5,877980.5625,808897.0948909352,824873.469527423,822161.8384156562,761063.6875,3930633.5,782813.5625,893601.3932256122,884524.1907372244,877508.221549125
35687.84375,24796.65625,1470695.25,394936.4879893825,394927.86486638954,394928.17816552,24800.953125,581271.625,1427311.0,201919.04020003768,202407.0327290044,201881.98290292325,5094936.0,1455089.25,1280549.25,10200035.492405737,10199978.064364327,10147917.23940179,1018069.0,62599800.0,157187168.0,10538928.080347592,10665196.883283151,10665376.331595406,39612.265625,4114551.5,36221.00390625,202986.53056342583,203053.96820616783,203054.79280223092,16149.345703125,24687.609375,1140461.875,201961.8155396259,204988.44931896185,205510.0574729826,2978.6552734375,15417.3642578125,25822.125,20211.290818722373,19856.964052300205,19737.356993249796,1559.5943603515625,15336.84375,33861.98828125,23503.21076866425,23538.07871868887,23931.861157555635,1273723.0,6608147.5,5970198.0,7152403.586756966,7153356.595129756,7153299.535480622,25187732.0,4488000.5,5807817.0,9647992.930288106,9646300.681627287,9645999.180637421,194204.6875,3679940.0,819260.375,767107.3484415086,760582.2997087146,756694.3205510183,550978.625,3707701.5,703396.375,930525.7523947745,924998.3155599524,746425.7829460574
20534.619140625,24317.234375,107409.296875,386790.8492408534,386766.1800833277,386759.064789993,19634.02734375,20030.572265625,890082.625,203646.02963450743,203392.44292195048,203763.08757290294,306524.59375,3071801.25,218994464.0,9555500.020755941,9555677.539186418,9555704.356031239,461721.125,48764852.0,31378954.0,10028980.607593492,10510268.181440912,10029501.418685455,37049.60546875,4386897.5,1085692.75,210095.90928972577,210187.25645477793,210089.54941837778,14549.482421875,30900.271484375,287005.96875,212032.89249751432,210425.92560959703,210960.61873567925,3182.867431640625,15650.4931640625,24999.3828125,20169.374955148738,19523.286732419376,19413.16501439167,1642.7989501953125,16104.908203125,33628.5234375,24560.503408982033,24163.75575405598,24166.0656304926,2050902.5,8397156.0,4745169.5,7549526.821524494,7550531.82891216,7549203.25750432,3693421.25,4071439.5,27234016.0,8725037.522645256,8723230.311607946,8723025.56050564,269860.4375,4960706.0,907265.8125,915717.778009528,899704.898441401,908467.4134023732,854135.75,4627799.5,850527.0625,947829.5589486257,937078.3811508953,924103.7439408875
26988.111328125,23931.931640625,182044.328125,412118.0310465595,412115.82772858307,412110.98772652255,22345.544921875,1408244.75,309776.28125,193668.5450750254,193823.42060031314,193491.0900209825,2978298.5,1433400.25,1655668.0,9542766.481394023,9542713.646463335,9543248.937016016,602410.625,2346827.5,4372297.5,9619192.15946799,9914969.232085522,9914947.785644403,31041.734375,30626.7734375,51976.13671875,211967.57347653946,210760.8993779553,210764.91349859274,18754.994140625,32354.1328125,1446634.875,202193.8460556334,202116.83381210658,205758.2467962917,3238.747314453125,17030.59765625,29404.3125,20972.898949872444,20281.035274158494,20183.0604092467,1611.62353515625,15561.5830078125,33738.953125,23628.44639560113,23702.84222013017,23789.763259149244,937963.125,7679304.5,163989136.0,7134788.213094749,7134454.162301592,7134386.323457019,4383840.5,5740612.0,13722018.0,9152834.19351667,9151743.760676304,9151645.910778267,193340.515625,3520845.5,875905.0625,815748.1473820098,812256.9509759233,810076.1876714246,613791.375,4553806.5,757130.5,1007797.6690907389,787548.5676051624,782326.3031317696
36120.9296875,21116.00390625,3317334.25,387724.29273484653,387703.81136739947,387701.7431355036,19156.443359375,20014.443359375,989557.25,207601.86719914965,206896.49533595677,206926.207736766,3955969.5,1230254.375,1157348.875,9514968.463792354,9515147.045192063,9515196.00036407,837427.4375,2821298.25,123268904.0,10448521.229274899,10448220.774828942,10396448.967837362,38955.45703125,1767946.875,1170329.0,213775.73501926335,213946.3442333315,213845.04328879793,17152.02734375,2656711.0,137448.90625,211790.12680670084,211666.51165044733,212181.77146002272,3282.6806640625,16473.046875,27975.94140625,20942.50841510516,20520.422874057553,20389.615596889817,1565.0498046875,15463.525390625,33571.3671875,23932.418836075085,24004.065335444582,24117.022793407887,1494704.625,6388168.0,24984370.0,7145740.665971286,7144373.942585678,7144315.527556796,2507138.5,32612538.0,94836032.0,9635626.355689889,9635281.176525801,9635207.151406828,235523.015625,3928378.0,791805.25,746412.4412649726,727664.4086961858,723929.5384510361,1217491.25,4341704.0,766571.6875,940556.33502442,932033.7898823078,913022.8170765347
