dnmf_0_1,dnmf_1_1,dnmf_2_1,mu_0_1,mu_1_1,mu_2_1
68639.1875,158841.34375,386256.5,255205.75077966598,258010.36675183504,258723.6576164139
512411.28125,112870.015625,153667.046875,248234.51690427036,250743.81416810365,251632.49787307938
73948.28125,128794.0546875,351272.59375,253649.96880254388,256142.50907625016,257058.32546447654
77978.65625,89466.296875,346983.09375,228195.92125011812,230921.29324675057,231855.70581410258
57283.375,80717.5625,97752.3046875,195618.86181054957,198331.06394496778,199244.43536412428
