dnmf_1,dnmf_w1,dnmf_2,dnmf_w2,dnmf_3,dnmf_w3,dnmf_4,dnmf_w4,dnmf_5,dnmf_w5,dnmf_6,dnmf_w6,dnmf_7,dnmf_w7,dnmf_8,dnmf_w8,dnmf_9,dnmf_w9,dnmf_10,dnmf_w10,dnmf_11,dnmf_w11,dnmf_12,dnmf_w12
2477818368.0,85788360.0,549506432.0,24128042.0,1045551972352.0,14774621184.0,85008867328.0,5656521728.0,2619784960.0,50233780.0,900163264.0,30969166.0,4767245312.0,11176583.0,32026632.0,484188.15625,921495601152.0,178183077888.0,6486799941632.0,736388251648.0,13172985561088.0,155247493120.0,7180409896960.0,249919488000.0
2598151936.0,78523088.0,530810784.0,23133596.0,1841899503616.0,15246055424.0,100360658944.0,8434657792.0,2519672320.0,46363084.0,850569728.0,31276014.0,4882329600.0,11158870.0,34361128.0,521330.25,2025319432192.0,345242271744.0,12658433589248.0,744491253760.0,8547331997696.0,294160269312.0,6384910336000.0,225885339648.0
2394836992.0,73693264.0,542426752.0,23678344.0,704595623936.0,27396706304.0,139492212736.0,13647781888.0,2861155328.0,48878196.0,835089728.0,32356406.0,4949699584.0,11667721.0,53766164.0,737314.3125,1602682748928.0,329931194368.0,7695171059712.0,691769638912.0,29965749846016.0,1222565429248.0,8025945407488.0,284396847104.0
2534205696.0,84860112.0,522152224.0,22700860.0,977132847104.0,13056726016.0,92471033856.0,7233329152.0,2463600384.0,47505564.0,926800128.0,30873256.0,4850100736.0,11335091.0,30436258.0,485743.5,5460932952064.0,349079470080.0,10624122748928.0,890029277184.0,21808134750208.0,603770388480.0,5153341046784.0,194557394944.0
2575824128.0,82608448.0,533895808.0,24257440.0,986606272512.0,12607899648.0,92547866624.0,7464579584.0,2606196736.0,51018244.0,851799296.0,32120746.0,5161945088.0,11862769.0,32855236.0,490583.25,1510959480832.0,293079121920.0,5500291776512.0,821426192384.0,25829000085504.0,679183056896.0,6981543788544.0,248961105920.0
