dnmf_0_1,dnmf_1_1,dnmf_2_1,mu_0_1,mu_1_1,mu_2_1
68639.1875,136136.046875,1173665.875,255205.75077966598,257370.57912751692,257753.49225672256
512411.28125,108073.7578125,139800.390625,248234.51690427036,250381.40225332283,250893.14563820793
73948.28125,70215.46875,104766.0234375,253649.96880254388,255920.6263444747,256306.5718756113
77978.65625,86800.5,109081.203125,228195.92125011812,230361.68340516445,230736.0870089862
57283.375,89636.5625,129023.2734375,195618.86181054957,197724.95834865453,198118.81829601852
