dnmf_0_1,dnmf_1_1,dnmf_2_1,mu_0_1,mu_1_1,mu_2_1
27187.802734375,36838.2578125,39459.12890625,245472.22463932494,245530.74731766872,245587.66072540832
81663.046875,115264.203125,94358.828125,277786.8207009643,277836.8566239904,277884.5458150751
69071.6328125,45258.85546875,45747.48828125,317710.835717241,317594.89310245606,317847.95642299677
20616.77734375,39183.55859375,36752.33984375,245236.9523033961,245325.06202324454,245362.05216231415
22719.97265625,38571.25,42640.5546875,205054.43164870134,205118.26654011017,205180.14572956433
