dnmf_1,mu_0_1,mu_1_1,mu_2_1,dnmf_2,mu_0_2,mu_1_2,mu_2_2,dnmf_3,mu_0_3,mu_1_3,mu_2_3,dnmf_4,mu_0_4,mu_1_4,mu_2_4,dnmf_5,mu_0_5,mu_1_5,mu_2_5,dnmf_6,mu_0_6,mu_1_6,mu_2_6,dnmf_7,mu_0_7,mu_1_7,mu_2_7,dnmf_8,mu_0_8,mu_1_8,mu_2_8,dnmf_9,mu_0_9,mu_1_9,mu_2_9,dnmf_10,mu_0_10,mu_1_10,mu_2_10,dnmf_11,mu_0_11,mu_1_11,mu_2_11,dnmf_12,mu_0_12,mu_1_12,mu_2_12
3097273.0,4856036864.312619,16048860923.8405,16717933445.171661,686883.0625,584033319.9601816,3451501618.2574434,3890388656.50042,484051840.0,8279558881261.862,14651468413347.707,14863531820922.5,39355956.0,416994857941.8358,2263039001456.6924,2481094264665.904,3274731.25,10863470464.326267,31326564936.490273,32199276839.02189,1125204.125,1760990993.1774852,8460458322.26811,8903977445.424124,5959056.5,4267327074.5787005,43757601762.718834,44903014603.52397,40033.2890625,26168732.512733504,2488023118.953862,2558316533.195755,1151869440.0,19115984911844.516,62315082439809.555,69480474693684.766,8108499968.0,202402644355202.94,257887846503441.12,274258952369667.7,16466232320.0,48104934482988.92,158594315827618.06,176842135928998.5,8975512576.0,132975766719625.55,354679377581716.0,395510834348709.9
3247690.0,4929884218.514532,17800981655.722816,18504136429.070923,663513.5,585259022.5895022,3612945790.823825,4077786545.4334536,852731264.0,8303297351027.34,14706444771454.72,14923328112119.871,46463268.0,437466090380.40674,2542246166354.827,2795363346231.8887,3149590.5,10902552010.938887,32243999226.740417,33174022369.085804,1063212.125,1818432593.3444936,9024925245.528196,9473538676.409418,6102912.0,4206966851.5168114,42870969906.601135,43996843643.98244,42951.41015625,27925118.75814373,2546973929.0955925,2619138652.419169,2531649280.0,17469545134343.193,59067991373879.75,65819921472582.32,15823041536.0,91602971341385.58,120216884759233.84,128016168640484.23,10684165120.0,111283528695713.58,342268970892385.44,381701343400158.56,7981137920.0,129828957855888.98,345166426225996.8,384635807956969.75
2993546.25,4866042823.046496,17139355028.36907,17825908566.279594,678033.4375,604167982.0081282,3649997466.3795557,4113774269.0047812,326201664.0,8035158955005.391,14117986668654.615,14327597614895.04,64579728.0,377663501697.5567,1829194072121.6677,1993878179884.1,3576444.25,10773211430.967361,31648787280.602516,32581376673.960213,1043862.1875,1828769210.9684813,8843077223.471405,9298092592.449125,6187124.5,4344132683.80336,43815962286.76341,44960415904.883415,67207.703125,29987695.88970813,2626340098.0989866,2699828960.6074877,2003353472.0,15278143090668.867,51909080218646.18,57818285140240.68,9618963456.0,186755293235327.5,238143700206547.3,253303369173595.34,37457186816.0,110608588133181.17,348919953076965.1,388987444565236.5,10032432128.0,168373353676063.2,448038273431673.6,499423117474851.9
3167757.0,4772683103.048498,17559612183.760204,18264867042.92872,652690.25,563607426.6718935,3450981778.773449,3896417290.571022,452376320.0,8288307303853.372,14649993276375.182,14863511303526.473,42810664.0,394000674088.2388,1934733083205.5884,2107993631227.4397,3079500.5,10344519485.47583,27477199323.66681,28167951301.58315,1158500.125,1746595160.6562564,8595007652.13527,9035013573.357136,6062626.0,4236787551.0541973,43602417683.878784,44746031197.315,38045.32421875,28040477.566578157,2507999849.937007,2578820076.6140366,6826166272.0,17930792857947.773,60532825981477.055,67460590153131.56,13280153600.0,195103216119642.9,250154983907718.88,266074063793634.3,27260168192.0,82281306937344.44,261037138774918.06,291158500051817.06,6441676288.0,178948472839964.44,474748360683115.75,529174988656579.3
3219780.25,4976582833.1554985,18246962896.594883,18951456508.247723,667369.75,581134826.2222872,3609724389.6807184,4070867977.384095,456762176.0,524096710394.8734,1219892524202.1177,1270045127744.6743,42846236.0,261717078014.21432,2175038741657.1733,2423449303592.6494,3257746.0,11188324849.545088,32283563181.01449,33190053154.884598,1064749.125,1789438445.436535,8804026638.564083,9257693151.07704,6452431.5,4323483133.913591,43858288499.230835,45007380163.922966,41069.046875,29565404.49013906,2525252104.097909,2596019082.9629035,1888699392.0,10265218143901.785,35835779421170.84,39954569577770.55,6875364864.0,183727667861612.66,236046827493691.34,251099649588293.56,32286251008.0,101234206746387.61,320194181132270.44,356903206360309.9,8726929408.0,165670698177990.75,440524979186393.3,491061354045429.06
