dnmf_0_1,dnmf_1_1,dnmf_2_1,mu_0_1,mu_1_1,mu_2_1
68803.4453125,50581.92578125,46679.80078125,329984.4499221559,329984.82430341875,329985.1942411351
170464.15625,112826.75,120375.390625,1306584.8791054809,1306585.1043665109,1306585.3269385004
134588.0,103707.6875,83506.6875,1471302.0973842973,1471301.5690295224,1471301.047973762
276382.0,260724.796875,262521.03125,1496097.2528822043,1496097.4271353115,1496097.5992697133
125461.71875,71264.0234375,67718.0703125,362655.0238736002,362655.6142811923,362656.1972897807
