dnmf_0_1,dnmf_1_1,dnmf_2_1,opt3_0_1,opt3_1_1,opt3_2_1,mu_0_1,mu_1_1,mu_2_1
13005.0966796875,29573.638671875,29829.890625,853357.625,,,852924.7137051952,852924.7142057071,852924.7156628076
16927.23828125,39798.46875,37917.0703125,859487.6875,,,858546.436068309,858546.4366458681,858546.4383299724
16376.1474609375,33115.46875,28528.205078125,585640.25,,,584805.0565038322,584805.0571024623,584805.0588463404
14497.34375,25835.13671875,25963.01171875,540016.75,,,539373.2911616771,539373.2917625683,539373.2935139703
14348.765625,40296.30859375,43822.8984375,895577.4375,,897320.375,894733.1284871934,894733.1290399185,894733.1306515122
