dnmf_L0,MU_L0,dnmf_L1,MU_L1,dnmf_L2,MU_L2
231275.59375,195044.49720687905,226451.125,140486.086491528,187799.8125,83936.21330887004
230973.453125,194979.15526818932,226434.53125,140456.74455540272,187962.90625,83866.12723090178
230625.515625,194913.62804989584,226399.515625,140427.16365651911,188108.125,83796.27235535876
230234.9375,194847.99115231243,226358.53125,140397.33985389938,188215.046875,83726.6477522097
228685.90625,194782.3213852952,226306.53125,140367.26934751097,188306.0625,83657.25269273481
227025.375,194716.69156649083,226234.984375,140336.9484742161,188388.953125,83588.0866281096
224728.03125,194651.16589816392,226146.34375,140306.37370287333,188455.296875,83519.14916935365
221878.625,194585.79657019363,226040.453125,140275.54162860097,188507.328125,83450.44006886256
219015.484375,194520.6219406462,225919.40625,140244.44896625547,188546.453125,83381.95920358514
216088.984375,194455.66630369774,225783.59375,140213.09254322675,188569.171875,83313.70655979268
213093.34375,194390.94097373876,225637.765625,140181.4692917188,188579.546875,83245.68221931245
210033.515625,194326.44625675562,225484.453125,140149.57624073626,188576.125,83177.88634706165
206915.8125,194262.17385215897,225315.59375,140117.41050805803,188554.234375,83110.31917969715
203729.40625,194198.10929615088,225129.125,140084.96929252747,188514.28125,83042.98101521136
200474.34375,194134.23417298586,224926.0625,140052.24986702227,188444.953125,82975.87220331564
197168.734375,194070.5279410783,224707.34375,140019.24957248743,188330.125,82908.99313648476
193775.890625,194006.96932086287,224464.765625,139985.96581340657,188175.984375,82842.3442415595
191120.734375,193943.53726063497,224202.4375,139952.39605506122,187937.796875,82775.92597183608
188561.515625,193880.21153638884,223934.0625,139918.53782287566,187673.484375,82709.73879959289
186007.375,193816.97305853668,223647.703125,139884.38870406948,187381.578125,82643.78320902925
183511.046875,193753.80396026076,223340.640625,139849.94635175494,187060.65625,82578.05968960555
181120.53125,193690.68753611317,223013.59375,139815.2084915125,186669.8125,82512.56872978693
178829.578125,193627.60809049502,222662.90625,139780.17293037477,186271.453125,82447.31081120009
176705.09375,193564.5507472447,222279.859375,139744.83756804638,185842.0625,82382.28640321852
174611.34375,193501.5012657797,221857.546875,139709.20041008727,185380.984375,82317.49595798859
172608.4375,193438.44590693107,221406.859375,139673.2595827059,184886.828125,82252.93990591355
170654.75,193375.3713925664,220816.78125,139637.01334873124,184331.34375,82188.61865159978
168745.1875,193312.26500573516,220420.625,139600.46012428292,183704.53125,82124.5325702767
166852.734375,193249.11487912267,220076.765625,139563.59849561864,183028.65625,82060.6820046853
164979.03125,193185.91051386017,219806.203125,139526.4272356157,182299.5625,81997.06726243073
163082.96875,193122.64355147132,219585.8125,139488.94531935046,181486.171875,81933.68861378737
161265.5625,193059.30878222265,219467.515625,139451.15193824764,180868.171875,81870.54628993887
159487.046875,192995.90531023676,219338.359375,139413.04651231153,180204.625,81807.64048163289
157852.0625,192932.4377150976,219275.640625,139374.62869999546,179515.59375,81744.97133822237
156182.859375,192868.9169710565,219079.4375,139335.89840533494,178746.0625,81682.53896706847
154403.28125,192805.36084255172,218457.0625,139296.85578203347,177885.921875,81620.34343327081
152692.265625,192741.7935078531,217713.9375,139257.50123428082,176917.359375,81558.38475969607
151092.875,192678.24429396563,216925.765625,139217.83541416234,175732.296875,81496.6629272704
149548.96875,192614.74561747882,215993.0625,139177.85921560883,174101.140625,81435.17787550604
148196.46875,192551.33045074317,214920.109375,139137.57376492105,172083.140625,81373.92950322705
147037.375,192488.02977849045,213739.6875,139096.98040798184,169496.875,81312.917669469
145911.640625,192424.87050934945,212519.921875,139056.08069434832,166517.140625,81252.14219452027
144772.828125,192361.87415951095,211207.234375,139014.87635847507,163070.3125,81191.60286108234
143714.03125,192299.05640026514,209873.765625,138973.36929838255,159359.859375,81131.2994155241
142608.015625,192236.42735167829,208420.546875,138931.56155212183,155035.5625,81071.23156921033
141653.1875,192173.992379427,206792.734375,138889.45527242927,150256.21875,81011.39899988461
140627.859375,192111.7531267172,205056.140625,138847.05269998207,145014.984375,80951.80135309265
139728.328125,192049.70856164792,203100.875,138804.3561356846,139287.25,80892.43824363158
138836.34375,191987.85590034755,200755.515625,138761.3679124201,133634.4375,80833.30925701471
138097.453125,191926.1913433009,198017.359375,138718.09036670162,128755.375,80774.41395094243
137346.703125,191864.71061850275,194888.1875,138674.52581064467,123497.8203125,80715.75185677232
136777.609375,191803.40935652,190954.203125,138630.67650467687,117732.9609375,80657.32248098325
136070.96875,191742.2833330476,186484.234375,138586.54463137774,111710.9921875,80599.12530662936
135499.578125,191681.32860998923,181232.171875,138542.13227081712,106131.1796875,80541.15979478008
134777.765625,191620.54159142968,174898.421875,138497.44137774332,101023.59375,80483.4253859456
134126.28125,191559.91898967494,167362.90625,138452.47376093097,97217.8515625,80425.92150148524
133388.359375,191499.45767298926,159273.375,138407.23106497873,94457.59375,80368.64754499777
132782.484375,191439.15435018076,150799.390625,138361.71475479763,92818.8828125,80311.6029036932
132199.921875,191379.00505815976,142209.25,138315.92610300248,91350.8828125,80254.7869497454
131873.21875,191319.0044881502,134289.859375,138269.86618036908,89966.3125,80198.19904162383
131352.84375,191259.1453319779,125891.6328125,138223.53584947498,88752.109375,80141.83852540521
131064.4921875,191199.41799516883,117191.0546875,138176.9357615946,87731.984375,80085.70473606043
130545.7578125,191139.81102973738,108756.4375,138130.06635686167,86656.2265625,80029.79699871951
130288.9609375,191080.3122977863,101142.5859375,138082.92786766723,85259.703125,79974.11462990916
129765.6328125,191020.91030672632,94631.828125,138035.52032519548,83608.6640625,79918.6569387619
129502.09375,190961.59490476907,89752.1640625,137987.8435689555,81814.9296875,79863.42322819475
129022.4921875,190902.3570060314,86049.0625,137939.8972591044,80303.796875,79808.41279605326
128765.8046875,190843.18784042096,82957.7578125,137891.68089131493,79260.4921875,79753.62493621946
128320.2421875,190784.07856747473,80728.0703125,137843.19381388946,78253.171875,79699.05893967976
128091.46875,190725.02069699235,78772.5234375,137794.43524678392,77263.671875,79644.71409554973
127671.421875,190666.0071156166,76889.796875,137745.40430217254,76345.59375,79590.58969205254
127441.4140625,190607.03317058604,75232.9453125,137696.10000616172,75454.03125,79536.68501744987
127058.359375,190548.09732538013,73676.3046875,137646.52132124122,74662.640625,79482.99936091933
126829.9296875,190489.20118529443,72120.90625,137596.66716906367,73715.1171875,79429.53201338054
126463.5703125,190430.34897726742,70532.4609375,137546.53645314014,72796.4765625,79376.2822682632
126215.1640625,190371.5467399631,68991.953125,137496.1280810619,71966.09375,79323.24942221926
125890.9375,190312.801509145,67428.140625,137445.4409858777,71243.40625,79270.43277577666
125670.5859375,190254.12069813634,65864.8203125,137394.47414629228,70507.21875,79217.83163393369
125372.546875,190195.51173847652,64328.49609375,137343.22660538842,69754.8828125,79165.44530669476
125022.0390625,190136.98193352614,62829.44921875,137291.69748762617,68933.9296875,79113.27310954756
124588.0859375,190078.53842845096,61367.24609375,137239.88601391492,68065.515625,79061.31436388148
123939.4140625,190020.18820921375,59968.6953125,137187.7915146124,67166.703125,79009.56839735087
123443.59375,189961.93808052625,58652.12890625,137135.41344035626,66236.234375,78958.03454418258
122839.3359375,189903.794609451,57415.07421875,137082.75137068084,65290.296875,78906.71214543075
122332.0703125,189845.76404388636,56261.81640625,137029.80502042847,64334.984375,78855.60054918112
121719.609375,189787.8522230115,55193.046875,136976.57424400083,63355.01953125,78804.69911070788
121203.2265625,189730.0644952809,54196.734375,136923.05903754532,62340.66015625,78754.00719258496
120560.71875,189672.4056543394,53270.17578125,136869.2595391963,61332.91796875,78703.52416475599
119994.59375,189614.8798979324,52405.33984375,136815.17602752976,60324.265625,78653.2494045652
119322.984375,189557.49081111365,51603.03515625,136760.80891840375,59317.6953125,78603.18229675257
118740.8984375,189500.2413730874,50860.890625,136706.15876037435,58211.84375,78553.32223341739
118121.3671875,189443.1339864736,50155.44921875,136651.22622889403,57112.40234375,78503.66861395158
117587.7421875,189386.17052805782,49477.765625,136596.01211949027,56037.296875,78454.22084494874
116937.2734375,189329.35242048715,48836.9296875,136540.51734013544,54985.1796875,78404.97834008929
116385.5390625,189272.68072423883,48230.3046875,136484.74290300207,53981.53125,78355.94052000616
115717.1640625,189216.15624775313,47642.54296875,136428.68991579703,53002.6796875,78307.10681213476
115162.828125,189159.77967018515,47088.0,136372.3595728517,52036.8984375,78258.47665054651
114479.875,189103.55166516957,46605.39453125,136315.7531461331,51087.55078125,78210.04947577388
113910.828125,189047.4730052465,46162.3203125,136258.87197632375,50166.0859375,78161.82473462385
113233.3125,188991.54461610995,45745.75390625,136201.71746410502,49363.92578125,78113.8018799862
112675.4921875,188935.767540291,45345.1640625,136144.2910617571,48594.91796875,78065.98037063524
112015.5078125,188880.1427659023,44968.2421875,136086.5942651761,47870.42578125,78018.35967103057
111478.0703125,188824.67088361105,44620.82421875,136028.62860639035,47197.9375,77970.9392511147
110861.796875,188769.3515590531,44322.03125,135970.39564664083,46577.28515625,77923.71858611175
110423.59375,188714.18284873213,44055.421875,135911.89697007992,46033.28125,77876.69715632722
109889.6875,188659.16043718095,43827.73828125,135853.1341781249,45566.875,77829.8744469497
109496.5703125,188604.27691549336,43639.0234375,135794.10888448864,45143.61328125,77783.24994785737
108999.4375,188549.52123709195,43489.359375,135734.8227109036,44785.50390625,77736.82315342694
108635.71875,188494.87846356485,43364.39453125,135675.27728353543,44478.02734375,77690.59356234879
108194.1484375,188440.32985507115,43252.97265625,135615.47423007927,44210.46875,77644.56067744642
107868.484375,188385.85328566222,43147.15625,135555.41517751545,44020.90234375,77598.72400550243
107461.0078125,188331.42390009313,43058.0625,135495.10175049797,43895.82421875,77553.08305708962
107174.1484375,188277.01489494345,42983.9375,135434.53557033231,43812.32421875,77507.63734640786
106827.9296875,188222.59830790508,42922.55078125,135373.71825449495,43756.55859375,77462.38639112817
106532.8828125,188168.14572595537,42870.6796875,135312.65141664018,43721.734375,77417.32971224202
106166.6328125,188113.62886060265,42828.3125,135251.33666702243,43712.96484375,77372.46683391527
105858.6953125,188059.01997317965,42794.16015625,135189.77561326654,43732.67578125,77327.7972833505
105486.3515625,188004.2921579708,42770.65625,135127.96986140116,43782.40234375,77283.32059065138
105155.25,187949.41950450267,42758.51953125,135065.9210170715,43860.91796875,77239.03628869451
104811.578125,187894.37716488307,42757.921875,135003.63068683972,43998.5546875,77194.94391300443
104484.15625,187839.14135107855,42769.9765625,134941.10047947956,44245.26953125,77151.04300163379
104196.6171875,187783.6892834306,42793.0703125,134878.33200717467,44358.13671875,77107.33309504612
103926.6953125,187727.99910746943,42825.65234375,134815.3268865268,43352.265625,77063.81373600339
103683.2734375,187672.04979217972,42861.90234375,134752.08673929298,43288.6875,77020.48446945549
103361.9296875,187615.8210196379,42911.30859375,134688.61319277342,43313.70703125,76977.34484243201
103078.734375,187559.29307337897,42931.234375,134624.9078797867,43706.00390625,76934.39440393764
102732.125,187502.4467308188,43061.8203125,134560.97243818518,43470.390625,76891.63270484742
102470.53125,187445.26316343487,42710.4765625,134496.8085098761,43586.7421875,76849.0592978042
102132.4765625,187387.72384708095,42018.44140625,134432.41773933984,43599.47265625,76806.67373711742
101895.8203125,187329.81048370452,41794.23046875,134367.80177164948,43518.8984375,76764.47557866148
101563.5234375,187271.5049348448,41710.76953125,134302.96225002216,43426.52734375,76722.4643797752
101342.5859375,187212.78916654296,41644.01953125,134237.90081294952,43331.19140625,76680.63969916182
101004.3046875,187153.6452047392,41628.83984375,134172.61909097186,43217.55859375,76639.00109678775
100812.9453125,187094.05509978867,41501.60546875,134107.11870317464,43094.62109375,76597.54813378178
100486.109375,187034.0008984339,41420.8671875,134041.40125349793,42975.8203125,76556.28037233443
100332.375,186973.46462138128,41330.6328125,133975.46832695507,42878.92578125,76515.19737559641
100007.78125,186912.42824454088,41231.03125,133909.32148585984,42785.86328125,76474.29870757567
99880.2578125,186850.87368200347,41124.55859375,133842.96226615776,42702.140625,76433.58393303657
