dnmf_0,dnmf_1,dnmf_2,op1_0,op1_1,op1_2,mu_0,mu_1,mu_2
12930.146484375,26933.01171875,28953.888671875,842695.0,928775.5,970943.0625,842570.3727993347,842617.6503300426,842663.9471836474
14908.541015625,34633.76171875,30015.419921875,620842.3125,706658.125,747190.8125,620717.9462880561,620765.0962897519,620811.2479119606
14231.375,28732.423828125,29413.642578125,590117.4375,675832.0625,716518.0,590003.9392647644,590050.2323094943,590095.5630858332
17989.80078125,30913.916015625,30224.56640625,833666.5625,888762.3125,917612.4375,833557.0563014743,833595.7913817174,833633.6016397093
17992.58203125,35999.31640625,39663.3203125,861349.0,939623.625,978513.4375,861250.5315053506,861298.5504902583,861345.4432048463
