dnmf_L0,MU_L0,dnmf_L1,MU_L1,dnmf_L2,MU_L2
3580.542236328125,75172.56169775635,2060.66943359375,75402.6468444338,2133.626953125,75172.53626498976
2439.869384765625,50669.045004827545,3124.188720703125,50669.02582348673,1677.7537841796875,50669.00751553234
360637.25,10016337.755443648,355879.1875,10016375.912598083,337267.125,10016350.761144273
314709.84375,4344011.271645634,525399.0625,4344012.269796133,901456.5625,4344046.095387407
2205.369873046875,27235.172784540806,9674.2177734375,27235.23200457059,9696.8994140625,27235.288281220764
2306.591796875,30380.78041770932,2020.9541015625,30372.379124546696,3274.689453125,30366.240367663962
260.4399719238281,2841.145466587125,342.2646179199219,2835.579349782638,410.304931640625,2840.811213753404
37.00070571899414,820.1385217376301,56.81266784667969,821.36326035206,101.23408508300781,820.2362265187481
2716531.0,29901974.416352432,10397871.0,29982226.3096441,5103955.5,29969717.401372164
6721507.0,215328227.9860851,14080393.0,222726184.93831328,7816816.5,214487921.86418223
6030883.5,7894379.580055521,6962275.5,7896173.132261799,4137444.25,16735051.454694772
3738174.5,103088427.49323015,8369187.0,103088427.4937294,6577064.5,103088427.49422848
981.0696411132812,80588.32851540059,61.11632537841797,80588.33916708626,283.72320556640625,80588.3497789003
755.4268188476562,61955.248755343746,61.210670471191406,61955.25856828598,208.36941528320312,61955.2683465634
