super_reg_1,super_no_reg1,super_reg_2,super_no_reg2,super_reg_3,super_no_reg3,super_reg_4,super_no_reg4,super_reg_5,super_no_reg5,super_reg_6,super_no_reg6,super_reg_7,super_no_reg7,super_reg_8,super_no_reg8,super_reg_9,super_no_reg9,super_reg_10,super_no_reg10,super_reg_11,super_no_reg11,super_reg_12,super_no_reg12
3097273.0,5145996.0,686883.0625,850915.4375,484051840.0,676600640.0,39355956.0,48127756.0,3274731.25,10159829.0,1125204.125,1583777.875,5959056.5,7246594.5,40033.2890625,170771.421875,1151869440.0,2172505600.0,8108499968.0,10818398208.0,16466232320.0,25724127232.0,8975512576.0,11675709440.0
3247690.0,5481959.0,663513.5,843056.0,852731264.0,902059776.0,46463268.0,60403304.0,3149590.5,10116056.0,1063212.125,1661782.75,6102912.0,7253179.5,42951.41015625,185288.734375,2531649280.0,4749619200.0,15823041536.0,17695537152.0,10684165120.0,15220342784.0,7981137920.0,11132657664.0
2993546.25,5038113.5,678033.4375,857685.9375,326201664.0,1032822976.0,64579728.0,106471760.0,3576444.25,10344056.0,1043862.1875,1594429.75,6187124.5,7516784.5,67207.703125,214974.015625,2003353472.0,4205730304.0,9618963456.0,11293148160.0,37457186816.0,39160537088.0,10032432128.0,13676867584.0
3167757.0,5356473.5,652690.25,837746.75,452376320.0,646216000.0,42810664.0,53081960.0,3079500.5,9706143.0,1158500.125,1698363.0,6062626.0,7255693.5,38045.32421875,179457.71875,6826166272.0,7774891520.0,13280153600.0,16104638464.0,27260168192.0,30629093376.0,6441676288.0,10948805632.0
3219780.25,5411773.0,667369.75,843624.3125,456762176.0,599846400.0,42846236.0,53272544.0,3257746.0,10362334.0,1064749.125,1637799.5,6452431.5,7686621.5,41069.046875,181329.140625,1888699392.0,3837594880.0,6875364864.0,12443110400.0,32286251008.0,37005643776.0,8726929408.0,12358637568.0
