dnmf_0_1,dnmf_1_1,dnmf_2_1,opt3_0_1,opt3_1_1,opt3_2_1,mu_0_1,mu_1_1,mu_2_1
12930.146484375,26933.01171875,28953.888671875,1574438.625,1802525.375,2076674.625,842570.3727993347,842570.3733514104,842570.3749620218
14908.541015625,34633.76171875,30015.419921875,1291539.125,1546000.75,1822311.75,620717.9462880561,620717.9468501278,620717.9484889209
14231.375,28732.423828125,29413.642578125,1268713.375,1518620.25,1790187.375,590003.9392647644,590003.9398072625,590003.9413898126
17989.80078125,30913.916015625,30224.56640625,1399770.75,1464580.0,1668930.875,833557.0563014743,833557.0568323488,833557.0583742757
17992.58203125,35999.31640625,39663.3203125,1557331.875,1751990.25,2003536.25,861250.5315053506,861250.5321402262,861250.5339857239
