dnmf_L0,MU_L0,dnmf_L1,MU_L1,dnmf_L2,MU_L2
176250.015625,1099844.5104804698,90354.2109375,1099845.1481612327,95661.109375,1099845.7783029915
250493.953125,2464082.0768780704,273443.0,2464081.625725834,139380.609375,2464081.180868018
116982.6640625,1090638.6285218473,112379.1171875,1090638.9349276326,104857.15625,1090639.2379632564
290680.40625,736873.3947145635,305478.96875,736873.066124147,299954.4375,736872.7422681192
41714.20703125,475935.98456259066,60743.29296875,475935.8667458962,60092.890625,475935.7505390874
