reg_test,no_test,ref_train,no_train,reg_train
58700.2734375,142951.375,,31608.0234375,35189.2421875
278004.09375,285132.15625,,28571.986328125,24627.986328125
144214.34375,307455.5625,,30040.521484375,20984.287109375
321476.5625,321250.5,,38547.59375,32341.302734375
73112.0390625,58142.94921875,,32538.041015625,38532.7890625
