dnmf_0_1,dnmf_1_1,dnmf_2_1,mu_0_1,mu_1_1,mu_2_1,dnmf_0_2,dnmf_1_2,dnmf_2_2,mu_0_2,mu_1_2,mu_2_2,dnmf_0_3,dnmf_1_3,dnmf_2_3,mu_0_3,mu_1_3,mu_2_3,dnmf_0_4,dnmf_1_4,dnmf_2_4,mu_0_4,mu_1_4,mu_2_4,dnmf_0_5,dnmf_1_5,dnmf_2_5,mu_0_5,mu_1_5,mu_2_5,dnmf_0_6,dnmf_1_6,dnmf_2_6,mu_0_6,mu_1_6,mu_2_6,dnmf_0_7,dnmf_1_7,dnmf_2_7,mu_0_7,mu_1_7,mu_2_7,dnmf_0_8,dnmf_1_8,dnmf_2_8,mu_0_8,mu_1_8,mu_2_8,dnmf_0_9,dnmf_1_9,dnmf_2_9,mu_0_9,mu_1_9,mu_2_9,dnmf_0_10,dnmf_1_10,dnmf_2_10,mu_0_10,mu_1_10,mu_2_10,dnmf_0_11,dnmf_1_11,dnmf_2_11,mu_0_11,mu_1_11,mu_2_11,dnmf_0_12,dnmf_1_12,dnmf_2_12,mu_0_12,mu_1_12,mu_2_12
4380.3076171875,3953.771240234375,3370.29443359375,77335.01205236326,77334.97362574041,77335.16354925411,2229.722412109375,4389.46484375,2803.0517578125,53408.59867741087,53408.63050478465,53408.6609101175,208767.9375,623863.375,549566.625,13904212.90884626,13904262.42130577,13904237.65785592,223889.09375,647092.375,637114.5625,8118258.941873643,8118249.576400227,8118246.312898002,2146.193603515625,6810.43017578125,14957.98828125,34388.88427202859,34388.94713451967,34388.98929975991,1769.66748046875,2755.1171875,2233.093017578125,30814.00887209368,30229.377222934007,30227.891023749988,548.7213745117188,1758.95068359375,1848.9412841796875,2923.554710776857,2922.059836230842,2805.131301572331,43.93366241455078,156.81295776367188,217.79263305664062,1035.6250304385896,1034.50226734925,1034.4870348348054,3016288.25,14346728.0,18880486.0,23783112.505559035,23790518.584629223,23788046.655977834,11551095.0,69403784.0,56642704.0,132329946.76861197,199516698.73821682,132233494.30913071,9276579.0,43834132.0,41738736.0,28786340.69265066,21312194.93883828,21308675.176426433,3178531.0,80572184.0,72371776.0,98603210.21863694,98603210.21875411,98603210.21887036
3340.425048828125,3873.97314453125,4440.60693359375,88556.37468829165,88508.17106811143,88556.58820716715,2463.28955078125,2714.557861328125,2956.487548828125,55507.79360800465,55507.781943088725,55507.77080698056,309263.65625,837799.4375,740074.0,9452243.681676583,9452239.88071312,9452241.707798254,375431.8125,872660.1875,1237350.375,9133112.325691681,9072829.78770701,9072837.968039129,2100.039306640625,7469.6533203125,8838.5908203125,32226.206388962295,32226.2512013293,32226.281355706964,1921.8822021484375,3015.540283203125,14558.2724609375,31101.50922336262,31100.72486292694,31100.649867239605,486.66046142578125,1725.013916015625,1818.289794921875,2957.6437653784155,2959.9595645482564,2959.998047800982,48.090187072753906,175.67308044433594,229.6296844482422,1202.5836696703016,1202.3619348648913,1202.3024662351506,3797246.5,16019025.0,17857354.0,25718907.067667123,25736568.59373449,25718936.124852996,7324857.5,46001628.0,30433910.0,367741796.10447484,368446603.76288635,368385875.86652374,7134945.5,87910176.0,79989344.0,17642296.062289678,17669717.13426024,17658358.851843417,2547056.75,76002424.0,68277392.0,87633066.01134261,87633066.0111767,87633066.01099855
3770.445068359375,3243.836181640625,5006.236328125,83022.54063639943,83037.651111892,83037.6973283656,2502.10888671875,3963.4296875,2610.98974609375,56009.53562831845,56009.527550186176,56009.51984048017,674557.3125,1486266.125,1659091.375,23615158.76994694,23615412.069881197,23615162.65634746,676335.6875,1651692.875,1661071.0,9170797.170223642,9170786.086205188,9170850.98409131,1971.7484130859375,13756.6279296875,14673.6884765625,33786.04871962028,33714.54388007388,33714.35506320733,2005.34375,3008.9091796875,3187.8427734375,33995.4989051172,33142.019335123485,33139.740097686954,494.3948059082031,1775.05908203125,1869.68505859375,2968.3054996191345,3090.753374924186,3092.536906297659,47.643035888671875,174.70867919921875,265.5072937011719,1196.217996861884,1203.235804759921,1194.575896631979,4172499.5,13139525.0,19109640.0,28894975.084792424,28910158.347912274,28920226.75065025,8423900.0,50055552.0,56955996.0,165173545.69453454,166649133.69301465,257745447.4903137,17379386.0,99598408.0,91198640.0,577749608.8471591,577734890.0829087,577734631.999181,3676021.75,102013736.0,91422936.0,109500441.76767682,109500441.76774237,109500441.76780795
3967.629150390625,6652.884765625,3653.557861328125,93156.77204127487,93219.55273166287,93220.4844148883,2375.527099609375,3228.102783203125,4179.92626953125,51218.270536036536,51218.27215649367,51218.27370424067,203207.421875,494860.96875,608541.3125,8744456.430836957,14753178.361302026,8744449.637511406,341099.78125,732522.8125,673188.375,9040747.234131094,9040765.621982727,9040749.95363958,1981.4676513671875,2671.873779296875,5922.32861328125,34133.4840944034,34134.64432957023,33989.35326035879,2014.6160888671875,2601.322021484375,15751.6298828125,30987.681988588614,30989.708876029476,30987.066050683774,302.2198486328125,1809.5814208984375,1911.1728515625,3010.811725614191,3009.127756034221,3013.0830193803667,46.588134765625,198.3243408203125,218.35687255859375,1178.2752930777503,1181.9589015451995,1181.875403925795,5040489.5,19394924.0,16460517.0,136779741.05558863,38721954.9172518,37544391.54687387,7457511.5,68140864.0,57064436.0,162153256.55725116,162604305.79587498,164014948.46122187,11995309.0,81509128.0,70359192.0,28384307.776789397,75470740.34544165,28348191.442501117,2634633.5,102555216.0,92703120.0,69155047.77996378,69155047.77958186,69155047.77915783
3975.30615234375,3418.572509765625,3676.57470703125,86220.25460536873,86220.2737253172,86281.21937847412,2234.24072265625,4149.15576171875,2499.782470703125,56672.43120966629,56672.418646730584,56672.4066614138,253888.359375,369183.375,298667.71875,12344612.706103858,9131590.76894587,12344647.171215247,261962.34375,746252.125,876374.1875,6064435.349429687,6064436.173413225,6064448.096874494,1889.3616943359375,7837.82958984375,15276.7646484375,35507.44830921048,35507.50007499963,35443.40840267679,2191.939697265625,3526.08056640625,2565.0732421875,33112.84295739965,33624.07411430965,33604.901090088955,509.4009094238281,1777.979736328125,1882.771240234375,3193.9110934338637,3129.619049217201,3193.728303076459,42.905975341796875,171.24464416503906,208.1078643798828,1165.0195154874525,1173.1743537466393,1164.1111445367956,4376861.0,10045072.0,12908925.0,26745032.59142612,26674558.36772243,26690806.7372778,15191075.0,48465968.0,62371112.0,183819439.4664041,253712487.4115265,183815145.4306485,12878684.0,92531600.0,83007936.0,27392929.826111864,87754485.3666976,31225655.98738665,3067081.25,97528552.0,88049432.0,95238901.52852084,95238901.5286162,95238901.52871102
