dnmf_L0,MU_L0,NNLS_L0,dnmf_L1,MU_L1,NNLS_L1,dnmf_L2,MU_L2,NNLS_L2
611293.5,5759444.704129444,98.39796846047285,611293.5,21454267.018506013,98.39796846047285,611293.5,22390910.72580951,98.39796846047285
127126.42268041238,753592.2055351629,121.75382828702536,127126.42268041238,4751700.137678027,121.75382828702536,127126.42268041238,5347978.065935466,121.75382828702536
149348262.95652175,110542918.55452152,134.8058117880617,149348262.95652175,313022069.65127295,134.8058117880617,149348262.95652175,334863159.41179645,134.8058117880617
10076677.408450704,58401840.17438797,264.17549977048503,10076677.408450704,276077252.62807757,264.17549977048503,10076677.408450704,297825150.7855697,264.17549977048503
800241.3012048192,13413531.329021426,105.45422456176959,800241.3012048192,39465585.88948083,105.45422456176959,800241.3012048192,40406424.99297871,105.45422456176959
155401.69523809524,2063654.2968227596,126.42782780250243,155401.69523809524,9880529.519516544,126.42782780250243,155401.69523809524,10406022.630897474,126.42782780250243
208145.04166666666,4794452.084649099,96.42591015931139,208145.04166666666,48236825.20428958,96.42591015931139,208145.04166666666,49505513.44138202,96.42591015931139
4752.635110294118,33691.50833740339,24.658299005577415,4752.635110294118,2910700.7749726055,24.658299005577415,4752.635110294118,2995636.9950438202,24.658299005577415
315216773.5119617,11049034400.26821,33.98060171964407,315216773.5119617,37438244539.757034,33.98060171964407,315216773.5119617,41965618434.66103,33.98060171964407
3497646552.6153846,30291740004.81774,155.45945469184863,3497646552.6153846,47324273722.59864,155.45945469184863,3497646552.6153846,50493866358.50292,155.45945469184863
484717148.3278689,12153744150.517424,4.102175714474773,484717148.3278689,39093906071.46881,4.102175714474773,484717148.3278689,43813213919.67892,4.102175714474773
1831210445.8039215,88815580418.39905,4.63125268316097,1831210445.8039215,236075790153.99173,4.63125268316097,1831210445.8039215,263309572881.2081,4.63125268316097
1436.4692486702127,1269.7257639392146,4.3433446869327526,1436.4692486702127,14393025.15681982,4.3433446869327526,1436.4692486702127,15221724.884633217,4.3433446869327526
5437.9289148351645,579.6769835749328,4.9832627894959876,5437.9289148351645,15087881.292622928,4.9832627894959876,5437.9289148351645,16131967.069289025,4.9832627894959876
